PSTATABB,TOTALGENNTAN
AK,6595818
AL,142731861
AR,61100068
AZ,108500973
CA,196943760
CO,56832574
CT,44079944
DC,184480
DE,4305126
FL,246185265
GA,124199775
HI,9180590
IA,67198724
ID,16834400
IL,181296445
IN,94126667
KS,56573060
KY,69904814
LA,97167796
MA,19429417
MD,38166719
ME,10900946
MI,115299090
MN,59157705
MO,76941410
MS,67723497
MT,24947923
NC,129730297
ND,43032367
NE,37910898
NH,17193230
NJ,61421800
NM,35073357
NV,41723320
NY,123769710
OH,125609191
OK,80754586
OR,61016875
PA,241279607
PR,18578947
RI,9314561
SC,98113947
SD,17322409
TN,79057209
TX,480614368
UT,42560373
VA,93103269
VT,2107703
WA,110808401
WI,64242542
WV,65836063
WY,43460744